user_id,session_id,transaction_id,archetype,is_fraud,is_benign_anomaly
U100000,S100000,T100000,normal,False,none
U100000,S100001,T100001,normal,False,none
U100000,S100002,T100002,normal,False,none
U100000,S100003,T100003,normal,False,none
U100000,S100004,T100004,normal,False,none
U100000,S100005,T100005,normal,False,none
U100000,S100006,T100006,normal,False,none
U100000,S100007,T100007,normal,False,none
U100000,S100008,T100008,normal,False,none
U100000,S100009,T100009,normal,False,none
U100000,S100010,T100010,normal,False,none
U100000,S100011,T100011,normal,False,none
U100000,S100012,T100012,normal,False,none
U100000,S100013,T100013,normal,False,none
U100000,S100014,T100014,normal,False,none
U100000,S100015,T100015,normal,False,none
U100000,S100016,T100016,normal,False,none
U100000,S100017,T100017,normal,False,none
U100000,S100018,T100018,normal,False,none
U100000,S100019,T100019,normal,False,none
U100000,S100020,T100020,normal,False,none
U100000,S100021,T100021,normal,False,none
U100000,S100022,T100022,normal,False,none
U100000,S100023,T100023,normal,False,none
U100000,S100024,T100024,normal,False,none
U100000,S100025,T100025,normal,False,none
U100000,S100026,T100026,normal,False,none
U100000,S100027,T100027,normal,False,none
U100000,S100028,T100028,normal,False,none
U100000,S100029,T100029,normal,False,none
U100000,S100030,T100030,normal,False,none
U100000,S100031,T100031,normal,False,none
U100000,S100032,T100032,normal,False,none
U100000,S100033,T100033,normal,False,none
U100000,S100034,T100034,normal,False,none
U100000,S100035,T100035,normal,False,none
U100000,S100036,T100036,normal,False,none
U100000,S100037,T100037,normal,False,none
U100000,S100038,T100038,normal,False,none
U100000,S100039,T100039,normal,False,none
U100000,S100040,T100040,normal,False,none
U100000,S100041,T100041,normal,False,none
U100000,S100042,T100042,normal,False,none
U100000,S100043,T100043,normal,False,none
U100000,S100044,T100044,normal,False,none
U100000,S100045,T100045,normal,False,none
U100000,S100046,T100046,normal,False,none
U100000,S100047,T100047,normal,False,none
U100000,S100048,T100048,normal,False,none
U100000,S100049,T100049,normal,False,none
U100000,S100050,T100050,normal,False,none
U100000,S100051,T100051,normal,False,none
U100000,S100052,T100052,normal,False,none
U100000,S100053,T100053,normal,False,none
