transaction_id,session_id,user_id,timestamp,amount,recipient_id,recipient_is_new,hour_of_day,day_of_week
T100000,S100000,U100000,2026-06-03 22:32:49.292043,895.3057846760179,R793995,False,22,2
T100001,S100001,U100000,2026-06-07 11:37:48.376451,1489.5566107197112,R793995,False,11,6
T100002,S100002,U100000,2026-06-09 08:54:08.122282,1678.1410049952485,R587609,True,8,1
T100003,S100003,U100000,2026-06-09 13:06:28.224854,2471.8608411809428,R793995,False,13,1
T100004,S100004,U100000,2026-06-11 05:09:53.189856,1201.3976463954677,R249896,False,5,3
T100005,S100005,U100000,2026-06-11 15:13:56.121907,1109.5166753874646,R330893,False,15,3
T100006,S100006,U100000,2026-06-14 10:13:20.894992,1032.3327655205342,R249896,False,10,6
T100007,S100007,U100000,2026-06-17 16:24:01.243680,2323.982378513656,R793995,False,16,2
T100008,S100008,U100000,2026-06-17 16:50:48.080466,3403.283222917666,R330893,False,16,2
T100009,S100009,U100000,2026-06-20 09:06:50.079292,935.288257041121,R330893,False,9,5
T100010,S100010,U100000,2026-06-20 20:42:42.370199,1782.9148245406423,R793995,False,20,5
T100011,S100011,U100000,2026-06-22 03:47:11.836654,1324.0477621403843,R330893,False,3,0
T100012,S100012,U100000,2026-06-23 21:03:22.084492,1687.0546680712087,R240625,True,21,1
T100013,S100013,U100000,2026-06-26 00:37:39.865679,1649.4602889547145,R330893,False,0,4
T100014,S100014,U100000,2026-06-27 22:34:43.637843,1931.3420185590348,R249896,False,22,5
T100015,S100015,U100000,2026-07-01 14:39:04.773093,1685.6854483277327,R103691,True,14,2
T100016,S100016,U100000,2026-07-02 17:59:15.142518,1792.9886237312533,R793995,False,17,3
T100017,S100017,U100000,2026-07-07 12:40:18.769522,835.3643357319853,R793995,False,12,1
T100018,S100018,U100000,2026-07-09 08:07:29.558780,1501.2338202189671,R793995,False,8,3
T100019,S100019,U100000,2026-07-12 03:18:45.549648,1259.3452730627391,R793995,False,3,6
T100020,S100020,U100000,2026-07-13 21:26:35.862313,670.1393750251649,R249896,False,21,0
T100021,S100021,U100000,2026-07-16 10:23:26.903077,1395.595001087049,R330893,False,10,3
T100022,S100022,U100000,2026-07-18 18:05:45.944299,3818.761664987392,R330893,False,18,5
T100023,S100023,U100000,2026-07-19 17:14:25.029110,1567.0797923036837,R249896,False,17,6
T100024,S100024,U100000,2026-07-21 00:13:33.351185,1435.23427458683,R330893,False,0,1
T100025,S100025,U100000,2026-07-22 15:12:39.506573,1633.6312212932778,R249896,False,15,2
T100026,S100026,U100000,2026-07-24 22:48:04.816345,778.8478612067639,R793995,False,22,4
T100027,S100027,U100000,2026-07-27 07:52:38.815028,2802.9149110510552,R249896,False,7,0
T100028,S100028,U100000,2026-07-28 16:45:28.119502,827.9117583277181,R793995,False,16,1
T100029,S100029,U100000,2026-07-29 21:18:35.645975,2989.597913061059,R527624,True,21,2
T100030,S100030,U100000,2026-07-30 02:23:10.648756,2342.5738905632165,R249896,False,2,3
T100031,S100031,U100000,2026-07-30 02:33:38.742354,1804.6628535835746,R404459,True,2,3
T100032,S100032,U100000,2026-08-01 12:49:24.616782,1419.462854679874,R246773,True,12,5
T100033,S100033,U100000,2026-08-01 21:02:44.198363,1276.502035198648,R793995,False,21,5
T100034,S100034,U100000,2026-08-04 12:15:05.554462,2386.720746877643,R249896,False,12,1
T100035,S100035,U100000,2026-08-04 12:43:22.703539,1353.380305423299,R149222,True,12,1
T100036,S100036,U100000,2026-08-04 21:29:18.611064,1042.0357507425952,R587894,True,21,1
T100037,S100037,U100000,2026-08-05 10:01:45.040070,1284.985536145589,R673259,True,10,2
T100038,S100038,U100000,2026-08-06 00:22:55.672411,998.2327449517135,R793995,False,0,3
T100039,S100039,U100000,2026-08-07 19:34:37.321194,1633.9641540106393,R249896,False,19,4
T100040,S100040,U100000,2026-08-09 02:07:21.327379,2000.3834690515087,R330893,False,2,6
T100041,S100041,U100000,2026-08-13 14:53:18.274184,1291.8380143775992,R330893,False,14,3
