user_id,channel,account_age_days,history_status,cohort_age_band,cohort_txn_band,baseline_avg_amount,baseline_hour_mode,baseline_recipient_count
U100000,app,469,established,established,small,1542.79080781191,10,3
U100001,app,86,established,1-3mo,medium,15514.550453311667,9,3
U100002,app,471,established,established,medium,7423.544589366054,9,3
U100003,ussd,236,established,established,medium,10144.836813867327,10,4
U100004,ussd,385,established,established,small,1309.633316248817,9,3
U100005,app,894,established,established,medium,11316.34192802866,14,1
U100006,app,430,established,established,small,3025.7789533287846,12,3
U100007,ussd,556,established,established,large,45609.72889188258,19,4
U100008,app,341,established,established,medium,5379.2318322584715,17,4
U100009,ussd,714,established,established,small,3887.568050244214,14,7
U100010,ussd,230,established,established,medium,6133.754089303656,12,5
U100011,app,763,established,established,small,3152.5063380478355,19,6
U100012,app,146,established,established,medium,5055.672245287348,17,2
U100013,app,72,established,1-3mo,small,919.0611013741382,10,1
U100014,app,174,established,established,small,967.4688110457068,17,2
U100015,app,747,established,established,medium,8431.188172540464,19,5
U100016,ussd,564,established,established,small,4327.200238796044,12,3
U100017,app,716,established,established,medium,10337.271026451292,21,3
U100018,ussd,893,established,established,small,3601.7382312080167,12,11
U100019,ussd,9,cold_start,new,small,4994.167244360686,19,6
U100020,app,540,established,established,small,4158.751506647476,9,3
U100021,app,75,established,1-3mo,medium,6019.718668119176,10,5
U100022,app,10,cold_start,new,small,942.269315429933,12,3
U100023,ussd,567,established,established,small,4491.277380222625,21,3
U100024,app,872,established,established,small,1204.628936235231,9,5
U100025,ussd,701,established,established,small,500.0,19,4
U100026,ussd,798,established,established,medium,19093.96270856466,21,3
U100027,ussd,479,established,established,small,1453.9772283094283,19,3
U100028,ussd,653,established,established,medium,6058.432005995602,9,2
U100029,ussd,131,established,established,small,4251.655635203412,19,5
U100030,ussd,789,established,established,small,1408.74445482597,12,3
U100031,ussd,874,established,established,medium,8230.033063085491,10,2
U100032,ussd,687,established,established,medium,5333.875734655681,12,6
U100033,ussd,793,established,established,medium,6964.272644196023,10,5
